% Model,Homemade chicken meatballs_group model.mph,,,,,,,,,
% Version,COMSOL 5.4.0.295,,,,,,,,,
% Date,"Apr 28 2021, 20:58",,,,,,,,,
% Dimension,1,,,,,,,,,
% Nodes,44,,,,,,,,,
% Expressions,1,,,,,,,,,
% Description,Point graph,,,,,,,,,
% R,Height,,,,,,,,,
80/20,,,85/15,,,90/10,,,95/5,
time (s),temp [C],,time (s),temp [C],,time (s),temp [C],,time (s),temp [C]
0,20,,0,20,,0,20,,0,20
10000,60.30116037,,10000,60.10813054,,10000,59.90861304,,10000,59.70298993
20000,66.65937748,,20000,66.59621401,,20000,66.53541362,,20000,66.4735309
30000,68.40756157,,30000,68.36743915,,30000,68.32703428,,30000,68.28635222
40000,69.37620814,,40000,69.34406898,,40000,69.31174944,,40000,69.27926907
50000,70.00775676,,50000,69.97997299,,50000,69.95209973,,50000,69.92415312
60000,70.46808472,,60000,70.44260372,,60000,70.41714486,,60000,70.39171724
70000,70.82645743,,70000,70.80320228,,70000,70.77992364,,70000,70.7566324
80000,71.10997799,,80000,71.08862497,,80000,71.06725759,,80000,71.04588584
90000,71.34186809,,90000,71.32201226,,90000,71.30215628,,90000,71.28230905
100000,71.53645981,,100000,71.51779532,,100000,71.49914238,,100000,71.4805089
